;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64
;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5
;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30
LR;0;0;0;21.87;37.84;34.27;0;0.42;0.06;21.29;37.02;34.38;0;23.46;18.66;31.26;37.09;38.89;0;0;0;28.59;35.98;46.93;0;0.27;2.87;28.51;35.85;46.73;0;25.87;20.72;35.39;38.64;46.68;0;0;0;27.03;36.39;44.68;0;0.38;4.49;27.05;36.65;45.15;0;27.12;19.7;34.76;38;45.91
SVM;0;0;0;3.07;4.15;23.3;0;0.62;0.01;2.56;4.03;27.32;0;14.41;5.73;14.49;10.47;36.19;0;0;0;15.38;22.06;31.37;0;0.28;2.84;16.24;23.15;31.85;0;27;16.48;25.56;26.35;36.97;0;0;0;26.62;34.08;42.85;0;0.35;4.26;26.95;34.27;42.6;0;26.49;20.06;34.57;34.65;43.89
KNN;22.94;27;22.7;22.56;25.75;30.32;22.29;27.46;23.09;23.18;23.29;29.12;23.18;30.39;25.4;29.39;25.32;38.56;38.21;40.99;38.24;39.65;39.13;40.77;38.24;37.24;38.25;40.38;39.6;40.72;38.31;41.74;38.36;40.72;40.22;41.29;44.05;46.64;44.29;46.14;45.48;48;44.07;46.54;44.28;46.33;46.05;47.97;44.18;47.6;44.43;46.48;46.03;48.17
Gaussian NB;0;15.53;14.1;26.59;35.79;35.07;0.12;16.8;14.59;25.94;35.08;34.42;1.44;26.32;20.14;30.71;35.26;39.16;0;14.17;17.33;32.53;36.59;46.08;3.39;18.07;18.3;32.91;36.52;46.11;6.29;33.29;24.11;36.66;37.37;46.17;1.19;15.01;16.36;32.57;37.68;45.18;9.1;19.7;18.95;33.95;37.8;45.36;11.92;38.34;24.76;37.85;38.4;46.27
Multi NB;5.32;18.02;17.92;28.73;37.93;34.78;10.42;22.23;19.89;28.22;36.6;34.26;10.91;29.81;24.78;33.81;37.45;39.3;9.83;21.91;23.47;36.05;39.68;46.98;21.27;29.92;25.15;36.57;39.95;47.04;18.04;38.32;29.78;40.67;40.67;46.87;12.43;25.82;27.18;37.16;40.05;45.78;29.71;37.92;30.53;38.65;39.67;45.91;28.39;41.85;31.65;42.12;40.92;46.72
Cat NB;0;19.47;10.59;22.81;31.93;34.87;0;19.89;11.19;22.15;30.63;34.11;0.5;28.28;18.84;28.81;33.01;39.77;0;20.38;8.3;25.85;29.8;44.29;0;20.39;8.37;25.83;29.88;44.21;1.6;32.78;19.47;33.91;34.61;45;0.27;20.5;10.13;30.12;32.28;43.85;0.3;20.94;10.09;30.15;32.21;43.84;7.55;35.94;22;36.45;35.8;45.36
DT;0;0.05;0;2.35;14.37;24.86;0;1.01;0.31;4.23;16.03;28.52;0.09;13.14;7.83;15.64;16.34;39.12;17.92;23.95;22.38;23.5;25.13;37.88;19.87;26.45;23.68;25.07;26.4;37.43;20.1;30.13;25.84;29.04;28.7;39.14;34.71;35.23;35.35;37.19;37.3;40.34;35.08;36.01;35.96;37.39;37.86;40.47;35.91;37.82;36.37;39.19;39.12;43.47
RF;0;0;0;1.84;5.87;15.05;0;0.06;0;3.2;9.26;18.91;0.06;7.75;3.5;12.15;14.32;37.89;0;12.79;2.69;12.15;18.04;31.54;0;12.09;2.89;7.37;19.59;34.27;0.03;27.32;11.44;23.35;22.75;38.43;0.01;28.15;23.61;23.8;28.2;37.88;1.89;28.23;21.65;24.93;27.95;35.93;2.71;35.22;21.91;30.2;30.39;42.09
GB;0;0;0;0;1.04;5.08;0;0;0;0.12;5.46;20.13;0.06;1.52;0.41;4.34;10.71;31.28;0;0;0;2;11.72;25.67;0;0.02;0.01;3.17;18.35;28.96;0.03;1.69;0.56;14.65;20.74;34.94;0;0;0;8.27;15.2;31.34;0;0.01;0;13.48;29.1;28.56;0.02;0.83;0.5;21.22;32.64;41.12
