;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64
;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5
;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30
LR;100;100;100;78.98;71.7;71.7;100;91.55;97.15;79.05;71.8;72.45;99.2;74.85;79.2;71.6;71.4;67.9;100;100;99;73.6;69.75;60.5;100;92.25;88.3;73.15;69.5;60.4;96.75;70.45;75.25;67.15;66.7;61.05;99.95;98.05;87.45;71.85;66.95;60;99.25;89.3;86.1;71.2;66;60.95;93.55;68.15;75.35;65.7;65.2;60.4
SVM;100;100;100;90.08;75.53;73.64;100;91.25;98.8;89;86.75;73.8;99.1;79.65;86.8;75.15;79.65;68.35;100;100;100;73.85;70.15;61.65;100;92.3;88.5;73.05;68.6;65.7;96.6;70.25;74.8;68.3;65.85;64.65;100;100;92.8;71.45;65.15;60.3;99.2;89.95;85.95;71.8;65.2;60.15;94.3;66.15;74.65;64.55;65.45;60.15
KNN;71.43;69.65;74.07;71.16;68.63;70.89;76.55;70.8;74.55;72.1;74.6;69.4;74;68.2;71.8;67.6;71.85;64;61.3;60;62.2;61.15;61.55;61.1;61.35;59.75;61.05;60.45;61.5;60.8;61.15;60.5;61.25;59.95;59.75;61.05;57.15;57.55;56.2;55.85;57.55;57.55;57.95;56.35;56.75;55;56.05;56.55;57.75;56.4;58.1;56.35;57.5;55.65
Gaussian NB;74.39;72.4;74.99;72.13;71.7;70.84;74.4;72.55;72.45;71.65;71.8;71.45;74.4;72.65;73.95;70.8;69.95;64.4;70.8;67.2;68;60.25;61.1;59.6;70.7;67.85;68.05;65.05;64.4;59.6;70.7;61.35;68.15;63.45;63.65;59.65;65.3;59.55;65.3;58.4;58.95;57.55;65.3;59.8;65.25;59.15;60.5;57.55;65.3;57.55;65.2;58.55;59.4;57.55
Multi NB;72.61;71.86;72.99;71.81;71.7;68.73;71.45;71.5;71.8;72.05;71.8;66.1;71.8;71.4;74.65;64.55;63.65;63.35;62.05;61.85;64.3;63.5;64.7;59.6;62.05;62.8;64.25;63.6;60.65;60.45;62.1;63.45;64.15;60.5;59.6;59.6;65;59;64.7;59.25;61.15;57.6;64.8;58.6;64.8;60.1;60.4;57.55;64.85;59.2;64.25;59.05;58.4;57.75
Cat NB;74.77;71.59;73.58;72.02;71.7;70.89;72.95;71.25;71.6;71.75;70.45;71.7;72.5;70.6;63.65;66.2;63.65;65.75;67.3;64.7;67.6;65.9;67.8;62.1;66.8;65.05;67;64.9;67.55;61.65;67.5;61.95;67.6;64.5;66.3;61.85;63.2;57.55;62.4;62.05;57.55;57.55;57.55;57.55;63.7;61.1;60.95;57.55;62.75;57.55;57.55;58.3;57.55;57.55
DT;100;98.01;99.73;90.13;76.17;71.7;97;84.7;85.8;81.55;77.15;71.85;96.6;74;79.2;72.35;74.95;68.4;73.85;71.85;72.55;70.95;69.4;67.15;70.35;70.3;70.55;69.4;68.9;65.65;69.85;67.3;69.3;68.1;68.65;65.3;63.9;64.65;63;62.75;63.7;61;64.9;64.45;62.55;61.5;61.95;60.55;64.25;62.2;63.15;61.3;61.85;59.45
RF;100;98.22;100;92.35;84.26;74.5;99.45;88;92;85.05;79.6;72.65;99.2;74.35;78.55;77.5;77.6;68.5;78.8;72.4;72.7;71.95;70.8;67.25;76.85;71.95;73.65;70.9;70.7;66.75;76.55;68.1;72.65;68.4;68.7;64.6;77.15;70;72.1;66.2;65.5;62.95;75.9;68.7;70.3;65.5;65.4;62.45;75.1;63.65;69.8;64.95;65.55;60.25
GB;100;100;100;99.57;90.89;85.01;99.9;99.15;99.7;96.4;87;75.75;99.9;82.75;93.15;82.35;82.3;66.05;96.2;91.65;95.15;85.35;78.15;70.75;97.35;92.55;95.7;83.45;77.4;68.3;97;74.1;88.3;74.55;74.2;64.1;89.3;83.05;88.1;78.1;69.65;63.7;91.25;83.6;89.25;74.55;68;61.1;91.55;70.65;81.2;67.15;67.8;59
