;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;8x16;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;16x32;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64;32x64
;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;0;0;0.05;0.05;0.05;0.05;0.05;0.05;0.5;0.5;0.5;0.5;0.5;0.5
;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30;1;3;5;10;20;30
LR;0;0;33.48;44.33;43.22;43.57;0;3.45;31.8;42.15;43.75;43.7;0;25.95;32.05;43.4;45.1;43.8;0;0;37.55;42.8;48.8;48.45;0;1.9;37.55;43.1;48.6;48.45;0;30.1;38;43.3;48.75;47.9;0;0;37.65;43.11;50.05;47.52;0;3.67;38.34;45.54;50.79;47.62;0;31.05;38.05;44;50.25;48.12
SVM;0;0;2.81;17.92;30.92;30.42;0;0.05;2.8;20.75;30.3;29.8;0;15.4;13.65;27;31.4;40.15;0;0;10.05;26.4;29.2;42.5;0;1;10.9;26.8;29.4;41.5;0;27.15;19.8;36.1;35.45;43.2;0;0;20.19;43.11;37.1;47.02;0;3.87;19.99;43.15;36.46;47.02;0;30.21;23.86;45.04;37.95;47.52
KNN;2.41;6.68;6.98;21.29;30.72;30.12;3.35;13.25;11.35;22.25;30.75;28.45;5.1;20.9;16.05;29.5;33.1;37.55;14.9;21.5;25.85;36.2;33.55;42.75;15.15;22;25.2;36.35;33.05;39.75;16.3;34.9;28.5;39.85;39.3;43.85;25.99;30.95;33.13;39.98;38.14;45.83;26.59;32.74;33.28;42.21;38.69;46.63;26.24;39.34;33.68;42.26;39.98;46.92
Gaussian NB;0;15.71;37.9;43.98;45.08;43.42;6;20.2;37.1;43.45;44.1;43.7;8.25;27.9;37.8;43.05;43.4;43.7;0;13.05;47.7;45.65;49.7;48.35;0.5;14.6;47.8;45.85;49.8;48;1.75;30.8;47.75;46.2;49.7;47.95;0;15.97;49.65;50.25;50.25;50.25;0.5;18.95;49.8;50.25;50.25;50.25;2.23;33.68;50.3;50.25;50.25;50.25
Multi NB;9.64;22.29;37.7;44.83;44.53;42.82;22.9;26;37.35;43.8;44.1;43.25;23.35;29.55;37.3;43.65;45.25;43.5;4.7;15.55;45.2;46.65;50.8;48.5;16.05;18.65;45.3;46.85;50.55;48.7;15.95;40.35;44.9;46.95;51.65;48.7;5.7;21.48;42.56;47.52;51.74;48.91;18.95;22.92;42.66;47.42;51.69;50.3;19.59;41.91;44.44;47.02;51.24;50.2
Cat NB;0;24.05;19.63;25.5;32.98;34.84;0;22.3;20.75;28.45;33;33.65;0.6;28;28.15;37.35;35.35;41.75;0;22.1;20.4;33.35;32.7;45.7;0;22.25;23.3;35.45;33.4;46.2;0.5;33.95;34.7;42.2;39.9;48.95;0;25.99;21.73;38.1;38.74;47.07;0;25.74;23.66;38.39;38.99;47.07;0.3;35.76;48.07;47.57;41.27;48.71
DT;0;0;2.56;18.22;31.02;29.02;0;0;5.35;19.15;31.05;28.65;0;7.1;13.1;28.5;33.4;38.15;0;0;6.8;22.65;31.05;42.1;0;0;6.8;23.55;30.05;40.45;0.05;14;15.5;33.5;34.55;41.5;0;0;7.39;22.97;31.3;43.01;0;0;8.09;25.25;32.09;45.24;0.05;9.33;16.37;36.01;38.59;46.92
RF;0;0;3.01;18.67;30.87;29.52;0;0;3.55;18.7;31.35;29;0;5.15;11.15;26.2;31.85;37.5;0;0;6.9;23.8;30.85;43.2;0;0;5.45;23.1;29.3;41.55;0.05;9;12.85;31.2;34.15;41.6;0;0;7.04;23.66;32.69;46.97;0;0;7.29;24.65;33.38;46.92;0.05;7.54;15.53;34.42;34.67;47.77
GB;0;0;3.61;17.42;30.67;28.92;0;0;3.25;19;30.9;28.95;0;5.3;11.4;27.25;33.55;39.05;0;0;6.45;23.75;29.1;40.85;0;0.05;5.65;22.8;30.4;41.75;0.05;9.3;13.4;31.8;33.8;43.65;0;0;7.49;24.5;32.69;44.35;0;0;6.85;24.11;32.74;46.68;0.05;9.13;13.59;33.18;36.26;44.44
